Unnamed: 0,src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,class
18,192.168.1.34,192.168.1.254,38680,53,17,2020-11-30 11:46:00,20696.0,368766.91148047935,4638.577502899111,2319.2887514495555,2319.2887514495555,48,48,4080,3552,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,384,384,8,48,217.85263157894732,1369.0,0.0,282.94247019569764,20477.0,1851.0,0.0,435.6808510638298,472.4524114899616,20696.0,2280.0,0.0,440.3404255319149,608.3398153326543,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.42857142857144,4.428571428571429,140.8,4.4,258033.29461866047,445006.3211125158,85.0,74.0,0,48,48,4080,3552,T0803
7,192.168.1.34,192.168.1.254,49506,53,17,2020-11-30 11:45:52,13020.0,623041.4746543779,7373.271889400921,3686.6359447004606,3686.6359447004606,48,48,4320,3792,90.0,90.0,90.0,0.0,79.0,79.0,79.0,0.0,90,79,84.5,5.5,30.25,384,384,8,48,137.05263157894737,882.0,0.0,126.66461047074816,12507.0,1518.0,0.0,266.1063829787234,263.4791149252836,13020.0,1793.0,0.0,277.02127659574467,364.3635365693843,0,0,0,0,1,0,0,0,0,0,0,1.0,84.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,5.333333333333333,160.33333333333334,4.333333333333333,403785.48895899055,433138.22602431336,90.0,79.0,0,48,48,4320,3792,T0803
5,192.168.1.34,192.168.1.254,44480,53,17,2020-11-30 11:45:50,110706.0,68939.35288060267,867.1616714541217,433.5808357270608,433.5808357270608,48,48,4080,3552,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,384,384,8,48,1165.3263157894737,75541.0,0.0,7756.160462825466,110014.0,75846.0,0.0,2340.723404255319,10960.479834390944,110286.0,75541.0,0.0,2346.5106382978724,10913.729656531,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.125,4.375,128.0,4.0,445793.8388625592,316831.68316831684,85.0,74.0,0,48,48,4080,3552,T0803
6,192.168.1.23,239.255.255.250,62020,1900,17,2020-11-30 11:45:50,12012769.0,218.5174791923494,1.248671309670568,1.248671309670568,0.0,15,0,2625,0,175.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,175,175,175.0,0.0,0.0,120,0,8,15,858054.9285714285,3012689.0,0.0,1356570.6806151974,12012769.0,3012689.0,0.0,858054.9285714285,1356570.6806151974,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,175.0,0,0,0.0,0.0,0.0,0.0,3000116.0,13168.0,1506642.0,1493474.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0,15,0,2625,0,T0803
8,192.168.1.34,192.168.1.254,37182,53,17,2020-11-30 11:45:53,12057.0,672804.1801443145,7962.179646678278,3981.089823339139,3981.089823339139,48,48,4320,3792,90.0,90.0,90.0,0.0,79.0,79.0,79.0,0.0,90,79,84.5,5.5,30.25,384,384,8,48,126.9157894736842,1955.0,0.0,216.80161502398525,11548.0,1955.0,0.0,245.70212765957447,309.86530463533614,12057.0,2140.0,0.0,256.531914893617,402.5436067861696,0,0,0,0,1,0,0,0,0,0,0,1.0,84.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,5.75,207.2,5.6,537487.8286270691,740528.9492494639,90.0,79.0,0,48,48,4320,3792,T0803
2,192.168.1.52,192.168.1.254,42352,53,17,2020-11-30 11:45:49,25118.0,303845.8475993311,3821.960347161398,1910.980173580699,1910.980173580699,48,48,4080,3552,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,384,384,8,48,264.4,1525.0,0.0,307.2978120051588,24196.0,2011.0,0.0,514.8085106382979,541.641698255656,24535.0,2341.0,0.0,522.0212765957447,632.3044812383628,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.6,4.2,128.0,4.0,301905.7171514544,608365.0190114068,85.0,74.0,0,48,48,4080,3552,T0803
16,192.168.1.52,192.168.1.254,46094,53,17,2020-11-30 11:45:59,68656.0,106531.11162899093,1340.0139827546027,670.0069913773013,670.0069913773013,46,46,3910,3404,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,368,368,8,46,754.4615384615385,26858.0,0.0,3274.4979761443515,68305.0,27102.0,93.0,1517.888888888889,4615.36878614253,68288.0,27208.0,0.0,1517.5111111111112,4659.36663612948,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,4.0,128.0,4.0,204336.2043362044,354816.3548163548,85.0,74.0,0,46,46,3910,3404,T0803
14,192.168.1.34,192.168.1.254,52301,53,17,2020-11-30 11:45:58,13809.0,587442.9719747991,6951.987834021291,3475.9939170106454,3475.9939170106454,48,48,4320,3792,90.0,90.0,90.0,0.0,79.0,79.0,79.0,0.0,90,79,84.5,5.5,30.25,384,384,8,48,145.3578947368421,785.0,0.0,119.62114896529958,13730.0,1356.0,0.0,292.1276595744681,279.1874697716592,13348.0,1830.0,0.0,284.0,354.5074497311638,0,0,0,0,1,0,0,0,0,0,0,1.0,84.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,5.0,160.33333333333334,4.333333333333333,369799.69183359016,399833.748960931,90.0,79.0,0,48,48,4320,3792,T0803
4,192.168.1.34,192.168.1.254,57225,53,17,2020-11-30 11:45:50,106306.0,71792.74923334525,903.0534494760408,451.5267247380205,451.5267247380205,48,48,4080,3552,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,384,384,8,48,1119.0105263157895,75700.0,0.0,7763.986063187058,106306.0,76085.0,0.0,2261.8297872340427,10989.723312334389,106047.0,75700.0,0.0,2256.31914893617,10930.96385757408,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.5,4.5,144.0,4.5,418680.1298232961,427616.9265033408,85.0,74.0,0,48,48,4080,3552,T0803
25,192.168.1.34,192.168.1.254,54373,53,17,2020-11-30 17:04:30,15201.0,508387.6060785475,6315.373988553385,3157.6869942766925,3157.6869942766925,48,48,4128,3600,86.0,86.0,86.0,0.0,75.0,75.0,75.0,0.0,86,75,80.5,5.5,30.25,384,384,8,48,160.01052631578946,1578.0,0.0,196.13097099625423,14895.0,2223.0,52.0,316.9148936170213,407.7354080401523,14748.0,2098.0,0.0,313.7872340425532,427.5752483815213,0,0,0,0,1,0,0,0,0,0,0,1.0,80.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.3333333333333,4.666666666666667,143.0,4.333333333333333,406734.8960052823,374182.2939380724,86.0,75.0,0,48,48,4128,3600,T0804
