Unnamed: 0,src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,class
14,192.168.1.34,192.168.1.254,52301,53,17,2020-11-30 11:45:58,13809.0,587442.9719747991,6951.987834021291,3475.9939170106454,3475.9939170106454,48,48,4320,3792,90.0,90.0,90.0,0.0,79.0,79.0,79.0,0.0,90,79,84.5,5.5,30.25,384,384,8,48,145.3578947368421,785.0,0.0,119.62114896529958,13730.0,1356.0,0.0,292.1276595744681,279.1874697716592,13348.0,1830.0,0.0,284.0,354.5074497311638,0,0,0,0,1,0,0,0,0,0,0,1.0,84.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,5.0,160.33333333333334,4.333333333333333,369799.69183359016,399833.748960931,90.0,79.0,0,48,48,4320,3792,T0803
4,192.168.1.34,192.168.1.254,57225,53,17,2020-11-30 11:45:50,106306.0,71792.74923334525,903.0534494760408,451.5267247380205,451.5267247380205,48,48,4080,3552,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,384,384,8,48,1119.0105263157895,75700.0,0.0,7763.986063187058,106306.0,76085.0,0.0,2261.8297872340427,10989.723312334389,106047.0,75700.0,0.0,2256.31914893617,10930.96385757408,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.5,4.5,144.0,4.5,418680.1298232961,427616.9265033408,85.0,74.0,0,48,48,4080,3552,T0803
11,192.168.1.34,192.168.1.254,60750,53,17,2020-11-30 11:45:55,25828.0,295493.2631252904,3716.896391513087,1858.448195756544,1858.448195756544,48,48,4080,3552,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,384,384,8,48,271.87368421052633,1715.0,0.0,254.6076544971338,25682.0,1837.0,0.0,546.4255319148937,438.9169816661572,25312.0,2150.0,0.0,538.5531914893617,599.0271477707919,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.75,4.25,128.0,4.0,219651.4423076923,319600.4993757803,85.0,74.0,0,48,48,4080,3552,T0803
12,192.168.1.34,192.168.1.254,38500,53,17,2020-11-30 11:45:55,27233.0,280248.2282524878,3525.134946572173,1762.5674732860866,1762.5674732860866,48,48,4080,3552,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,384,384,8,48,286.66315789473686,1933.0,0.0,291.0421423826097,26873.0,2175.0,0.0,571.7659574468086,467.3285878842322,26717.0,2328.0,0.0,568.4468085106383,638.212090689749,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.5,4.5,128.0,4.0,273691.6548797737,219554.0308747856,85.0,74.0,0,48,48,4080,3552,T0803
1,192.168.1.23,192.168.1.19,61238,502,6,2020-11-30 11:45:49,13012823.0,459.3930156431084,7.223643939520272,4.149752901426539,3.0738910380937328,54,40,3396,2582,66.0,60.0,62.888888888888886,2.997941680718232,67.0,60.0,64.55,3.33878720495931,67,60,63.59574468085106,3.252884641053786,10.581258488003618,1080,800,20,54,139922.82795698923,830700.0,0.0,270026.5084114802,13012823.0,830700.0,0.0,245524.96226415093,321401.12645732326,12023260.0,1039031.0,0.0,308288.71794871794,458928.7645150723,0,0,0,0,1,0,0,0,0,0,0,0.7407407407407407,63.59574468085106,63408,33580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,38.0,4.0,45.68172953370667,4001.143183766791,62.888888888888886,64.55,0,54,40,3396,2582,T0803
19,192.168.1.52,224.0.0.251,5353,5353,17,2020-11-30 11:46:02,0.0,0.0,0.0,0.0,0.0,2,0,338,0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,169,169,169.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,169.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0,2,0,338,0,T0803
0,192.168.1.23,192.168.1.55,61239,502,6,2020-11-30 11:45:49,13681537.0,8890.59467514505,138.72710354107144,69.50973417679607,69.21736936427537,951,947,59934,61703,66.0,60.0,63.02208201892744,2.999918729639204,85.0,60.0,65.15628299894404,7.632592130846289,85,60,64.08693361433087,5.891925139649218,34.714781851230455,19020,18940,20,951,7212.194517659463,543407.0,-1.0,47973.371060247,13657457.0,544935.0,-1.0,14376.27052631579,67151.15487841374,13672062.0,582597.0,-1.0,14452.496828752644,72969.95050687062,0,0,0,0,0,0,0,0,0,0,0,0.9957939011566772,64.08693361433087,64726,2760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.5483870967742,15.17741935483871,163.9375,14.6875,734.1619899900403,9901.092876063643,63.02208201892744,65.15628299894404,0,951,947,59934,61703,T0803
17,192.168.1.34,192.168.1.254,60567,53,17,2020-11-30 11:46:00,24537.0,298080.4499327546,3749.439621795656,1874.719810897828,1874.719810897828,46,46,3910,3404,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,368,368,8,46,269.6373626373626,3953.0,0.0,476.7855858431226,24233.0,4673.0,0.0,538.5111111111111,759.6859767100328,24537.0,4395.0,0.0,545.2666666666667,850.6103272879357,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.66666666666663,4.666666666666667,128.0,4.0,247787.61061946905,429770.565193061,85.0,74.0,0,46,46,3910,3404,T0803
15,192.168.1.52,192.168.1.254,57297,53,17,2020-11-30 11:45:59,65933.0,115753.87135425356,1456.0235390472144,728.0117695236072,728.0117695236072,48,48,4080,3552,85.0,85.0,85.0,0.0,74.0,74.0,74.0,0.0,85,74,79.5,5.5,30.25,384,384,8,48,694.0315789473684,26741.0,0.0,3200.3024937706045,65244.0,27072.0,0.0,1388.1702127659576,4529.651916170371,65718.0,27032.0,0.0,1398.2553191489362,4523.10750582829,0,0,0,0,1,0,0,0,0,0,0,1.0,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,4.0,128.0,4.0,281782.4377457405,286513.71012870735,85.0,74.0,0,48,48,4080,3552,T0803
13,140.92.13.159,239.255.255.250,49319,1900,17,2020-11-30 11:45:57,3009586.0,861.2480254759292,3.987259377203376,3.987259377203376,0.0,12,0,2592,0,216.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,216,216,216.0,0.0,0.0,96,0,8,12,273598.7272727273,1003537.0,16.0,445848.86823473976,3009586.0,1003537.0,16.0,273598.7272727273,445848.86823473976,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,216.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,6.0,0.0,0.0,1043.1592136737788,0.0,216.0,0.0,0,12,0,2592,0,T0803
